fecha,apertura
12/08/2020 00:00,11386.5
11/08/2020 00:00,11896.37
10/08/2020 00:00,11684.6
09/08/2020 00:00,11767.93
08/08/2020 00:00,11601.75
07/08/2020 00:00,11770.26
06/08/2020 00:00,11759.9
05/08/2020 00:00,11193.48
04/08/2020 00:00,11236.39
03/08/2020 00:00,11074.92
02/08/2020 00:00,11808.21
01/08/2020 00:00,11357.98
31/07/2020 00:00,11110.84
30/07/2020 00:00,11105.01
29/07/2020 00:00,10931.91
28/07/2020 00:00,11049.4
27/07/2020 00:00,9941.25
26/07/2020 00:00,9712.45
25/07/2020 00:00,9549.34
24/07/2020 00:00,9614.85
23/07/2020 00:00,9537.23
22/07/2020 00:00,9395.98
21/07/2020 00:00,9161.77
20/07/2020 00:00,9213.15
19/07/2020 00:00,9175.7
18/07/2020 00:00,9150.51
17/07/2020 00:00,9134.44
16/07/2020 00:00,9191
15/07/2020 00:00,9256.33
14/07/2020 00:00,9234.19
13/07/2020 00:00,9304.94
12/07/2020 00:00,9234.07
11/07/2020 00:00,9291
10/07/2020 00:00,9234.91
09/07/2020 00:00,9441.76
08/07/2020 00:00,9257.21
07/07/2020 00:00,9346.9
06/07/2020 00:00,9077.18
05/07/2020 00:00,9142.16
04/07/2020 00:00,9053.87
03/07/2020 00:00,9091.68
02/07/2020 00:00,9230.97
01/07/2020 00:00,9136.89
30/06/2020 00:00,9187.85
29/06/2020 00:00,9118.8
28/06/2020 00:00,9008.33
27/06/2020 00:00,9158.13
26/06/2020 00:00,9237.98
25/06/2020 00:00,9286.3
24/06/2020 00:00,9617.88
23/06/2020 00:00,9688.26
22/06/2020 00:00,9287.89
21/06/2020 00:00,9355.93
20/06/2020 00:00,9287.6
19/06/2020 00:00,9374.83
18/06/2020 00:00,9459.82
17/06/2020 00:00,9530.62
16/06/2020 00:00,9435.41
15/06/2020 00:00,9329.99
14/06/2020 00:00,9478.93
13/06/2020 00:00,9465.92
12/06/2020 00:00,9265.95
11/06/2020 00:00,9894.32
10/06/2020 00:00,9782.3
09/06/2020 00:00,9786.64
08/06/2020 00:00,9759.04
07/06/2020 00:00,9673.08
06/06/2020 00:00,9616.17
05/06/2020 00:00,9791
04/06/2020 00:00,9668
03/06/2020 00:00,9522.52
02/06/2020 00:00,10203.64
01/06/2020 00:00,9444.61
31/05/2020 00:00,9705.1
30/05/2020 00:00,9428.52
29/05/2020 00:00,9581.49
28/05/2020 00:00,9209.99
27/05/2020 00:00,8835.79
26/05/2020 00:00,8903.22
25/05/2020 00:00,8710.12
24/05/2020 00:00,9183.93
23/05/2020 00:00,9171.96
22/05/2020 00:00,9062.25
21/05/2020 00:00,9505.61
20/05/2020 00:00,9776.3
19/05/2020 00:00,9730
18/05/2020 00:00,9672.95
17/05/2020 00:00,9377.79
16/05/2020 00:00,9307.43
15/05/2020 00:00,9809.91
14/05/2020 00:00,9323.73
13/05/2020 00:00,8816.99
12/05/2020 00:00,8574.19
11/05/2020 00:00,8740.88
10/05/2020 00:00,9527.31
09/05/2020 00:00,9809.04
08/05/2020 00:00,10008.19
07/05/2020 00:00,9163.63
06/05/2020 00:00,9040
05/05/2020 00:00,8889.24
04/05/2020 00:00,8924.14
03/05/2020 00:00,8982.56
02/05/2020 00:00,8836
01/05/2020 00:00,8629.72
30/04/2020 00:00,8789.79
29/04/2020 00:00,7762.07
28/04/2020 00:00,7794.22
27/04/2020 00:00,7708.87
26/04/2020 00:00,7565
25/04/2020 00:00,7518.81
24/04/2020 00:00,7494.2
23/04/2020 00:00,7138.29
22/04/2020 00:00,6850.6
21/04/2020 00:00,6833
20/04/2020 00:00,7124.27
19/04/2020 00:00,7265.94
18/04/2020 00:00,7020.13
17/04/2020 00:00,7121.35
16/04/2020 00:00,6619
15/04/2020 00:00,6868.88
14/04/2020 00:00,6864.66
13/04/2020 00:00,6908.21
12/04/2020 00:00,6882.75
11/04/2020 00:00,6866.03
10/04/2020 00:00,7299.12
09/04/2020 00:00,7370.85
08/04/2020 00:00,7204.78
07/04/2020 00:00,7335.85
06/04/2020 00:00,6780.57
05/04/2020 00:00,6887.22
04/04/2020 00:00,6737.36
03/04/2020 00:00,6789.63
02/04/2020 00:00,6669.95
01/04/2020 00:00,6428.74
31/03/2020 00:00,6408.95
30/03/2020 00:00,5878.47
29/03/2020 00:00,6275.11
28/03/2020 00:00,6376.03
27/03/2020 00:00,6765.15
26/03/2020 00:00,6695.47
25/03/2020 00:00,6768.64
24/03/2020 00:00,6494.7
23/03/2020 00:00,5816.57
22/03/2020 00:00,6199.17
21/03/2020 00:00,6207.66
20/03/2020 00:00,6192.94
19/03/2020 00:00,5413
18/03/2020 00:00,5340.95
17/03/2020 00:00,5051.41
16/03/2020 00:00,5353.04
15/03/2020 00:00,5167.38
14/03/2020 00:00,5623.16
13/03/2020 00:00,4841.67
12/03/2020 00:00,7956.29
11/03/2020 00:00,7893.63
10/03/2020 00:00,7937.2
09/03/2020 00:00,8035.79
08/03/2020 00:00,8901.12
07/03/2020 00:00,9154.1
06/03/2020 00:00,9059
05/03/2020 00:00,8757.79
04/03/2020 00:00,8755.45
03/03/2020 00:00,8917.34
02/03/2020 00:00,8516
01/03/2020 00:00,8525
29/02/2020 00:00,8710
28/02/2020 00:00,8816.5
27/02/2020 00:00,8778.37
26/02/2020 00:00,9305.4
25/02/2020 00:00,9664.87
24/02/2020 00:00,9969.79
23/02/2020 00:00,9664.08
22/02/2020 00:00,9696.13
21/02/2020 00:00,9610.4
20/02/2020 00:00,9589.1
19/02/2020 00:00,10190.3
18/02/2020 00:00,9725.57
17/02/2020 00:00,9925.96
16/02/2020 00:00,9909.71
15/02/2020 00:00,10364.04
14/02/2020 00:00,10229.19
13/02/2020 00:00,10348.78
12/02/2020 00:00,10270.98
11/02/2020 00:00,9851.99
10/02/2020 00:00,10173.51
09/02/2020 00:00,9907.7
08/02/2020 00:00,9803.71
07/02/2020 00:00,9754.63
06/02/2020 00:00,9617.84
05/02/2020 00:00,9168.49
04/02/2020 00:00,9281
03/02/2020 00:00,9309.69
02/02/2020 00:00,9379.6
01/02/2020 00:00,9339.26
31/01/2020 00:00,9510.84
30/01/2020 00:00,9280.83
29/01/2020 00:00,9386.57
28/01/2020 00:00,8894.57
27/01/2020 00:00,8600
26/01/2020 00:00,8320
25/01/2020 00:00,8435.83
24/01/2020 00:00,8382.08
23/01/2020 00:00,8661.63
22/01/2020 00:00,8728.47
21/01/2020 00:00,8629.66
20/01/2020 00:00,8698.97
19/01/2020 00:00,8901.02
18/01/2020 00:00,8898.03
17/01/2020 00:00,8715.39
16/01/2020 00:00,8810.62
15/01/2020 00:00,8813.2
14/01/2020 00:00,8105.01
13/01/2020 00:00,8180.75
12/01/2020 00:00,8008.1
11/01/2020 00:00,8200
10/01/2020 00:00,7812.7
09/01/2020 00:00,8048.94
08/01/2020 00:00,8151.79
07/01/2020 00:00,7768.17
06/01/2020 00:00,7352.12
05/01/2020 00:00,7356.05
04/01/2020 00:00,7332.58
03/01/2020 00:00,6945.7
02/01/2020 00:00,7174.7
01/01/2020 00:00,7160.69
31/12/2019 00:00,7222.74
30/12/2019 00:00,7372.79
29/12/2019 00:00,7297.43
28/12/2019 00:00,7247.7
27/12/2019 00:00,7195.17
26/12/2019 00:00,7195.8
25/12/2019 00:00,7247.45
24/12/2019 00:00,7317.47
23/12/2019 00:00,7521.88
22/12/2019 00:00,7147.4
21/12/2019 00:00,7194.13
20/12/2019 00:00,7157.53
19/12/2019 00:00,7286.91
18/12/2019 00:00,6619.53
17/12/2019 00:00,6882.08
16/12/2019 00:00,7115.08
15/12/2019 00:00,7066.35
14/12/2019 00:00,7255.94
13/12/2019 00:00,7185.15
12/12/2019 00:00,7208.95
11/12/2019 00:00,7224.5
10/12/2019 00:00,7332.05
09/12/2019 00:00,7516.8
08/12/2019 00:00,7505.86
07/12/2019 00:00,7535.46
06/12/2019 00:00,7397.35
05/12/2019 00:00,7199.58
04/12/2019 00:00,7299.2
03/12/2019 00:00,7317.94
02/12/2019 00:00,7411.75
01/12/2019 00:00,7560.2
30/11/2019 00:00,7753.69
29/11/2019 00:00,7429.32
28/11/2019 00:00,7517.82
27/11/2019 00:00,7168.74
26/11/2019 00:00,7127.12
25/11/2019 00:00,6900.9
24/11/2019 00:00,7330.98
23/11/2019 00:00,7276.21
22/11/2019 00:00,7612.23
21/11/2019 00:00,8085.54
20/11/2019 00:00,8124.08
19/11/2019 00:00,8176.9
18/11/2019 00:00,8499.53
17/11/2019 00:00,8485.61
16/11/2019 00:00,8459.38
15/11/2019 00:00,8632.07
14/11/2019 00:00,8765.53
13/11/2019 00:00,8817
12/11/2019 00:00,8720.36
11/11/2019 00:00,9029.88
10/11/2019 00:00,8806.85
09/11/2019 00:00,8760.38
08/11/2019 00:00,9209.3
07/11/2019 00:00,9346.02
06/11/2019 00:00,9319.1
05/11/2019 00:00,9410.76
04/11/2019 00:00,9207
03/11/2019 00:00,9304.75
02/11/2019 00:00,9250.7
01/11/2019 00:00,9158.08
31/10/2019 00:00,9169.55
30/10/2019 00:00,9426.94
29/10/2019 00:00,9216.39
28/10/2019 00:00,9547.32
27/10/2019 00:00,9262.72
26/10/2019 00:00,8677.09
25/10/2019 00:00,7427
24/10/2019 00:00,7470.77
23/10/2019 00:00,8021.57
22/10/2019 00:00,8206.53
21/10/2019 00:00,8236.49
20/10/2019 00:00,7965.39
19/10/2019 00:00,7950.48
18/10/2019 00:00,8069.26
17/10/2019 00:00,7995.73
16/10/2019 00:00,8162.45
15/10/2019 00:00,8353.33
14/10/2019 00:00,8278.39
13/10/2019 00:00,8303.43
12/10/2019 00:00,8265.16
11/10/2019 00:00,8589.08
10/10/2019 00:00,8586.57
09/10/2019 00:00,8185.85
08/10/2019 00:00,8211.04
07/10/2019 00:00,7863.75
06/10/2019 00:00,8150.73
